v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
6.5,9,400.0,0.0375,0.005769230769230769,15,18,167,0,31.89
6.5,11,400.0,0.0425,0.006538461538461539,17,15,168,0,32.55
7.0,10,162.97005988023952,1.02472810111699,0.14638972873099856,167,12,21,0,7.71
7.0,8,178.01818181818183,0.8650801756715351,0.12358288223879073,154,25,21,0,9.84
6.5,13,128.7102857142857,0.05438570787993412,0.008367031981528326,7,23,170,0,33.97
7.0,5,314.90578512396695,0.38424190890099624,0.05489170127157089,121,23,56,0,14.03
7.0,7,101.5581651376147,1.0732765785232667,0.1533252255033238,109,24,67,0,14.43
6.5,14,53.0662,0.056533160467491544,0.008697409302691007,3,19,178,0,36.1
6.5,18,400.0,0.085,0.013076923076923078,34,13,153,0,28.35
7.0,13,178.87746478873237,0.7938395156019937,0.11340564508599911,142,29,29,0,9.5
